budget,year,revenue,vote_average,title,runtime
385907,1916,8394751,7.4,Intolerance,197
245000,1925,22000000,7,The Big Parade,151
92620000,1927,650422,8,Metropolis,153
0,1929,0,7.6,Pandora's Box,109
379000,1929,4358000,5,The Broadway Melody,100
3950000,1930,8000000,6.1,Hell's Angels,127
4,1932,25,6.2,A Farewell to Arms,89
439000,1933,2281000,6.1,42nd Street,89
200000,1933,2200000,5.1,She Done Him Wrong,66
325000,1934,4500000,7.7,It Happened One Night,105
609000,1935,3202000,7.4,Top Hat,101
1,1936,8500000,8.1,Modern Times,87
1200000,1936,2736000,6.8,The Charge of the Light Brigade,115
0,1937,0,8.4,The Prisoner of Zenda,101
1488423,1937,184925486,6.9,Snow White and the Seven Dwarfs,83
2000000,1938,4000000,4.8,Alexander's Ragtime Band,106
1644736,1938,7433101,7.2,You Can't Take It With You,126
4000000,1939,400176459,7.7,Gone with the Wind,238
2777000,1939,33754967,7.4,The Wizard of Oz,102
1500000,1939,9600000,7.9,Mr. Smith Goes to Washington,129
2600000,1940,84300000,6.9,Pinocchio,88
2280000,1940,83320000,7.2,Fantasia,124
2000000,1940,9172000,6.5,Boom Town,119
1288000,1940,6000000,7.7,Rebecca,130
0,1940,0,6.4,The Blue Bird,88
1250000,1941,6000000,6.8,How Green Was My Valley,118
878000,1942,10462500,7.9,Casablanca,102
858000,1942,267447150,6.8,Bambi,70
2627000,1944,5363000,6,A Guy Named Joe,120
2361000,1944,6892000,7,Bathing Beauty,101
0,1945,0,6.2,State Fair,96
2160000,1945,9132000,5.8,The Valley of Decision,119
1500000,1945,7000000,7.3,Spellbound,111
1250000,1945,11000000,7.4,The Lost Weekend,101
6000000,1946,20400000,6.2,Duel in the Sun,144
3180000,1946,9644124,8,It's a Wonderful Life,130
2100000,1946,23650000,7.6,The Best Years of Our Lives,172
0,1947,0,6.6,Tycoon,128
2000000,1947,7800000,6.8,Gentleman's Agreement,118
2300000,1947,0,7.2,The Lady from Shanghai,87
3700000,1948,2956000,6.6,The Pirate,102
3000000,1948,9012000,7.3,Red River,133
0,1948,0,7,Open Secret,68
1600000,1949,5400000,7.1,She Wore a Yellow Ribbon,103
1000000,1949,7800000,6.2,Sands of Iwo Jima,100
3768785,1950,8000000,7.3,Annie Get Your Gun,107
8250000,1951,30000000,7,Quo Vadis,171
2300000,1951,11000000,6.9,Show Boat,107
1800000,1951,8000000,7.6,A Streetcar Named Desire,125
4000000,1952,36000000,6.6,The Greatest Show on Earth,152
2540800,1952,7200000,7.8,Singin' in the Rain,103
0,1952,0,6.9,Deadline - U.S.A.,87
730000,1952,8000000,7.6,High Noon,85
4100000,1953,36000000,6.4,The Robe,135
1650000,1953,30500000,7.2,From Here to Eternity,118
1250000,1953,8500000,6.7,Niagara,92
210000,1953,5000000,6.7,"The Beast from 20,000 Fathoms",80
5000000,1954,28200000,6.8,"20,000 Leagues Under the Sea",127
5000000,1954,15000000,6,The Egyptian,139
910000,1954,9600000,8,On the Waterfront,108
2000000,1954,271841,8.2,Seven Samurai,207
1200000,1955,7000000,6.9,The Trouble with Harry,99
0,1955,0,7.8,Ordet,126
4500000,1956,10400000,6.9,Moby Dick,116
4000000,1956,14400000,6.4,Trapeze,105
1000000,1956,9000000,5.5,Love Me Tender,89
3000000,1957,33300000,7.7,The Bridge on the River Kwai,161
350000,1957,1000000,8.2,12 Angry Men,96
3000000,1958,17570324,7.6,Cat on a Hot Tin Roof,108
5000000,1959,12200000,5.4,Solomon and Sheba,139
3500000,1959,12800000,7.4,The Nun's Story,149
2883848,1959,25000000,8,Some Like It Hot,122
806948,1960,32000000,8.2,Psycho,109
3000000,1960,25000000,8.1,The Apartment,125
3000000,1960,10400000,7.3,Elmer Gantry,146
6000000,1961,43656822,7,West Side Story,152
4000000,1961,8200000,6.8,The Misfits,124
3000000,1961,10000000,7.6,Judgment at Nuremberg,186
2900000,1961,5000000,7.3,Pocketful of Miracles,136
2000000,1961,7600000,7.6,The Hustler,134
2000000,1962,9250000,7.3,Lolita,153
15000000,1962,69995385,7.8,Lawrence of Arabia,216
10000000,1962,50100000,7.2,The Longest Day,178
3200000,1962,8000000,7.4,The Man Who Shot Liberty Valance,123
2000000,1962,13129846,8,To Kill a Mockingbird,129
950000,1962,59600000,6.9,Dr. No,110
62000,1962,0,4.4,The Brain That Wouldn't Die,82
31115000,1963,71000000,6.7,Cleopatra,248
17000000,1963,10000000,6.3,55 Days at Peking,154
9400000,1963,60000000,7,"It's a Mad, Mad, Mad, Mad World",163
4000000,1963,11744471,7.8,The Great Escape,172
2686000,1963,6600000,6,Donovan's Reef,109
2500000,1963,10000000,7.5,Hud,112
2000000,1963,78898765,6.9,From Russia with Love,115
1000000,1963,37600000,6.1,Tom Jones,128
19000000,1964,4750000,6,The Fall of the Roman Empire,188
17000000,1964,72070731,7.4,My Fair Lady,170
6000000,1964,102272727,7.4,Mary Poppins,139
5800000,1964,6800000,7.2,The Train,133
2500000,1964,124881062,7.2,Goldfinger,110
1800000,1964,9440272,8,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95
560000,1964,12299668,7.3,A Hard Day's Night,88
0,1964,0,7,Nothing But a Man,95
200000,1964,14500000,7.6,A Fistful of Dollars,99
120000,1964,0,7.1,The Married Woman,95
20000000,1965,15473333,6.5,The Greatest Story Ever Told,199
11000000,1965,111858363,7.4,Doctor Zhivago,197
5500000,1965,141195658,6.5,Thunderball,130
8200000,1965,286214286,7.4,The Sound of Music,174
3800000,1965,14873,6.2,Major Dundee,123
0,1965,0,6.1,The Party's Over,94
300000,1965,0,7.6,Pierrot le Fou,110
0,1965,0,7.5,A Charlie Brown Christmas,25
3900000,1966,28350000,7.5,A Man for All Seasons,120
3500000,1966,12000000,6.2,Harper,121
3000000,1966,13000000,6.4,Torn Curtain,128
0,1966,0,6.1,A Funny Thing Happened on the Way to the Forum,99
1377800,1966,0,6.1,Batman,105
1200000,1966,6000000,8.1,"The Good, the Bad and the Ugly",161
9500000,1967,111584787,6.5,You Only Live Twice,117
3500000,1967,13007551,7.4,In Cold Blood,134
2500000,1967,3200000,7.1,Point Blank,92
0,1967,0,6.3,The Torture Chamber of Dr. Sadism,85
0,1968,0,6.2,"Yours, Mine and Ours",111
10500000,1968,68700000,7.9,2001: A Space Odyssey,149
10000000,1968,37402877,7,Oliver!,153
9000000,1968,2500000,5.7,Barbarella,98
5000000,1968,5321508,8.1,Once Upon a Time in the West,175
114000,1968,30000000,7.5,Night of the Living Dead,96
3200000,1968,33395426,7.5,Rosemary's Baby,136
1800000,1968,6800000,6.7,Hang 'em High,114
1455000,1968,2620000,5.4,Shalako,113
950000,1968,814666,6.6,Charly,103
20000000,1969,31678778,6.2,Paint Your Wagon,158
8000000,1969,20000000,6.5,Sweet Charity,149
0,1969,0,7.3,Machine Gun McCain,116
6500000,1969,81974493,6.5,On Her Majesty's Secret Service,142
6000000,1969,102308889,7.4,Butch Cassidy and the Sundance Kid,110
6244087,1969,638641,7.6,The Wild Bunch,145
4000000,1969,6000000,6.1,Topaz,143
3600000,1969,44785053,7.4,Midnight Cowboy,113
0,1969,0,6.7,Mississippi Mermaid,123
100000,1969,27000000,4.3,The Stewardesses,69
25485000,1970,29548291,6.9,Tora! Tora! Tora!,144
25000000,1970,3052000,7,Waterloo,128
0,1970,0,4.9,Darling Lili,107
18000000,1970,24911670,6.7,Catch-22,121
12000000,1970,89800000,7.3,Patton,172
11000000,1970,2200000,5.9,The Molly Maguires,124
3716946,1970,5000000,6.9,The Ballad of Cable Hogue,121
3000000,1970,18999718,6.2,Beneath the Planet of the Apes,95
1200000,1970,0,6.7,Cotton Comes to Harlem,97
2090000,1970,40000000,6.6,Beyond the Valley of the Dolls,109
750000,1970,0,7.6,The Conformist,107
600000,1970,34505110,7.1,Woodstock,225
1800000,1971,41158757,7.4,The French Connection,104
9000000,1971,83304330,7.4,Fiddler on the Roof,181
7200000,1971,116019547,6.3,Diamonds Are Forever,120
6500000,1971,12376563,7,The Andromeda Strain,131
3000000,1971,4000000,7.4,Willy Wonka & the Chocolate Factory,100
2500000,1971,12348905,6.3,Escape from the Planet of the Apes,98
2000000,1971,11833696,6.7,Bananas,82
150000,1971,15200000,4.6,Sweet Sweetback's Baadasssss Song,97
0,1971,0,7.3,The Night Visitor,106
27000,1971,0,6,Pink Narcissus,64
0,1972,0,7.7,Solaris,167
6000000,1972,245066411,8.4,The Godfather,175
0,1972,0,7.1,1776,142
3500000,1972,12600000,7.1,Frenzy,116
2000000,1972,18016290,6.6,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,88
1700000,1972,9700000,6.1,Conquest of the Planet of the Apes,88
1000000,1972,0,6.3,Silent Running,89
0,1972,0,7.8,Cries and Whispers,91
12000,1972,6000000,6.2,Pink Flamingos,93
500000,1973,3000000,7.2,Mean Streets,110
8000000,1973,441306145,7.5,The Exorcist,122
7000000,1973,161777836,6.4,Live and Let Die,121
5500000,1973,159616327,7.9,The Sting,129
5500000,1973,15700000,7.4,High Plains Drifter,105
4638783,1973,11000000,7.2,Pat Garrett & Billy the Kid,106
2000000,1973,18344729,7,Sleeper,89
1700000,1973,8844595,5.5,Battle for the Planet of the Apes,93
777000,1973,140000000,6.9,American Graffiti,110
13000000,1974,47542841,8.3,The Godfather: Part II,200
85000,1974,30859000,7.2,The Texas Chain Saw Massacre,83
7000000,1974,97572000,6.3,The Man with the Golden Gun,125
4000000,1974,0,6.9,The Front Page,105
2800000,1974,86273333,7.7,Young Frankenstein,106
2600000,1974,119500000,7.2,Blazing Saddles,93
1600000,1974,4420000,7.5,The Conversation,113
0,1974,0,6.1,Benji,86
7000000,1975,470654000,7.5,Jaws,124
11000000,1975,20000000,7.7,Barry Lyndon,184
5000000,1975,41833347,6.7,The Return of the Pink Panther,113
3000000,1975,108981275,8.2,One Flew Over the Cuckoo's Nest,133
400000,1975,5028948,7.8,Monty Python and the Holy Grail,91
300000,1975,8000000,5.9,Death Race 2000,80
35000000,1976,35323292,6.9,The Bad News Bears,102
2800000,1976,60922980,7.2,The Omen,111
9000000,1976,25000000,6.6,Logan's Run,119
0,1976,0,6.6,Robin and Marian,106
0,1976,0,6.7,Silent Movie,86
3800000,1976,23689877,7.7,Network,121
2000000,1976,7900000,6.7,Family Plot,121
1000000,1976,117235147,7.5,Rocky,119
1300000,1976,28262574,8,Taxi Driver,114
22000000,1977,50750000,6.9,A Bridge Too Far,175
22000000,1977,12000000,7.4,Sorcerer,121
20000000,1977,303788635,7.2,Close Encounters of the Third Kind,135
17000000,1977,8720000,5,Damnation Alley,91
14000000,1977,185438673,6.6,The Spy Who Loved Me,125
14000000,1977,30749142,4.5,Exorcist II: The Heretic,118
0,1977,0,6.1,"New York, New York",155
11000000,1977,775398007,8.1,Star Wars,121
0,1977,0,6.2,March or Die,107
0,1977,0,6.3,Julia,117
5000000,1977,0,6.4,Capricorn One,123
4000000,1977,38251425,7.8,Annie Hall,93
3400000,1977,31063038,6.5,High Anxiety,94
600000,1977,0,6.4,The Kentucky Fried Movie,83
500000,1977,17000000,5.7,Kingdom of the Spiders,97
10000,1977,7000000,7.5,Eraserhead,89
55000000,1978,300218018,6.9,Superman,143
24000000,1978,21049053,5.9,The Wiz,134
20000000,1978,187884007,5.9,Jaws 2,116
300000,1978,70000000,7.4,Halloween,91
15000000,1978,50000000,7.8,The Deer Hunter,183
0,1978,0,5.8,Caravans,127
0,1978,0,6.6,The Boys from Brazil,125
11,1978,11,6.4,F.I.S.T.,145
0,1978,0,4,Alien Zone,90
6000000,1978,181813770,7.2,Grease,110
5000000,1978,7230000,6.4,Force 10 from Navarone,118
2700000,1978,141000000,7,Animal House,109
0,1978,0,7.6,Days of Heaven,94
0,1978,321952,7.9,The Last Waltz,117
0,1979,37823676,7.3,All That Jazz,123
35000000,1979,139000000,6.2,Star Trek: The Motion Picture,132
35000000,1979,31755742,5.6,1941,113
31500000,1979,89460381,8,Apocalypse Now,153
34000000,1979,210308099,5.9,Moonraker,126
20000000,1979,35841901,6.1,The Black Hole,98
0,1979,0,5.1,Meteor,107
12000000,1979,54000000,5.4,Prophecy,102
11000000,1979,104931801,7.9,Alien,117
9250000,1979,29174648,6.8,The Rose,125
0,1979,76657000,7,The Muppet Movie,97
8000000,1979,43000000,7.2,Escape from Alcatraz,111
6000000,1979,0,6.6,The First Great Train Robbery,110
2700000,1979,37799643,7,The Black Stallion,118
400000,1979,100000000,6.6,Mad Max,93
0,1979,0,4.9,Penitentiary,99
54000000,1980,190458706,6.5,Superman II,127
44000000,1980,3484331,6.4,Heaven's Gate,219
0,1980,0,5.2,Raise the Titanic,115
35000000,1980,27107960,6.1,Flash Gordon,111
27000000,1980,115229890,7.5,The Blues Brothers,133
18000000,1980,538400000,8.2,The Empire Strikes Back,124
0,1980,0,4.9,Can't Stop the Music,124
19000000,1980,44017374,8.1,The Shining,144
1000000,1980,21378361,6.4,The Fog,89
18000000,1980,23000000,7.7,Raging Bull,129
0,1980,0,6,Private Benjamin,109
15000000,1980,67182787,7.2,Coal Miner's Daughter,125
10000000,1980,15795189,6.6,The Long Riders,99
6500000,1980,31899000,6.8,Dressed to Kill,105
6000000,1980,0,7.4,Ordinary People,124
6000000,1980,39846344,6.6,Caddyshack,98
5500000,1980,4865000,3.3,Galaxina,95
5100000,1980,0,7.2,Somewhere in Time,103
5000000,1980,26010864,7.9,The Elephant Man,124
0,1980,0,6.5,Out of the Blue,94
4500000,1980,58853106,5.8,The Blue Lagoon,104
3500000,1980,83453539,7.1,Airplane!,88
46000000,1981,5200000,6.5,Inchon,140
35000000,1981,0,7.4,Lion of the Desert,173
32000000,1981,40382659,7.1,Reds,195
28000000,1981,195312802,6.3,For Your Eyes Only,127
18000000,1981,389925971,7.7,Raiders of the Lost Ark,115
20000000,1981,2297493,4.9,Under the Rainbow,98
18000000,1981,2945600,3.7,The Legend of the Lone Ranger,98
18000000,1981,12000000,7.3,Blow Out,108
18000000,1981,14110013,6.5,Dragonslayer,108
17000000,1981,2000000,5.6,Roar,102
12000000,1981,55260558,7.1,Quest for Fire,100
5000000,1981,42365581,6.6,Time Bandits,116
12000000,1981,0,6.4,The Postman Always Rings Twice,122
14000000,1981,85000000,7.9,Das Boot,149
0,1981,0,6.8,The Pursuit of D.B. Cooper,100
11000000,1981,31672907,6.5,History of the World: Part I,92
10000000,1981,85300000,6.5,Stripes,106
10000000,1981,2154696,3.8,Heartbeeps,79
14000000,1981,439564,6,Sphinx,118
9300000,1981,0,6.2,Heavy Metal,90
0,1981,0,5.6,Modern Problems,89
0,1981,0,6.3,The Four Seasons,107
6000000,1981,50244700,6.9,Escape from New York,99
5500000,1981,58972904,6.8,Chariots of Fire,123
0,1981,0,6.5,Mommie Dearest,129
5000000,1981,19905359,6.4,Nighthawks,99
4000000,1981,125728258,6.1,Porky's,94
2000000,1981,24600832,7.3,Mad Max 2: The Road Warrior,95
1250000,1981,21722776,6,Friday the 13th Part 2,87
1000000,1981,17985893,6.4,The Howling,91
0,1981,0,6.6,The Beyond,87
350000,1981,29400000,7.3,The Evil Dead,85
0,1981,0,5,Graduation Day,96
20000000,1982,79114085,6.6,Conan the Barbarian,129
8000000,1982,21028755,6.7,Creepshow,120
15000000,1982,125212904,7.2,First Blood,93
15000000,1982,19629760,7.8,The Thing,109
10700000,1982,122200000,7,Poltergeist,114
28000000,1982,33139618,7.9,Blade Runner,117
22000000,1982,77737889,7.4,Gandhi,191
18000000,1982,70687344,5.5,Firefox,136
35000000,1982,69701637,5.9,The Best Little Whorehouse in Texas,114
0,1982,0,3.5,Megaforce,99
16000000,1982,53977250,7.4,The Verdict,129
21000000,1982,177200000,6.9,Tootsie,116
0,1982,0,6,Cat People,118
12000000,1982,96800000,7.3,Star Trek II: The Wrath of Khan,113
10500000,1982,792910554,7.3,E.T. the Extra-Terrestrial,115
3500000,1982,20659423,6.8,The Man from Snowy River,104
0,1982,0,6.9,Diner,110
0,1982,14056528,6,The Beastmaster,118
0,1982,0,4.6,Jekyll and Hyde ... Together Again,87
4500000,1982,27092880,7,Fast Times at Ridgemont High,90
4300000,1982,0,6.2,Class of 1984,98
2500000,1982,14400000,5,Halloween III: Season of the Witch,98
4000000,1982,36690067,5.7,Friday the 13th Part III,95
0,1982,0,5,Butterfly,107
39000000,1983,75850624,5.3,Superman III,125
36000000,1983,160000000,5.8,Never Say Never Again,134
27000000,1983,16519460,5.8,Krull,117
32350000,1983,572700000,7.9,Return of the Jedi,135
27500000,1983,187500000,6.2,Octopussy,131
27000000,1983,21500000,7.3,The Right Stuff,193
25000000,1983,65884703,8,Scarface,170
15000000,1983,61399552,7.1,National Lampoon's Vacation,98
12000000,1983,79567667,7,WarGames,114
12000000,1983,30400000,6.2,Yentl,132
10000000,1983,29450919,6.2,Twilight Zone: The Movie,101
